"حساب اونكس","اســـــم الحساب",المدينة,العنوان,الموقع,المندوب
4020307,"شركة التشييد الاختصاصية للمقاولات",الرياض,"المرسية -طريق الأمير فيصل بن بندر بن عبدالعزيز الفرعي، النرجس، الرياض 13353",https://maps.app.goo.gl/LYTqQhtmR4dMiEts5,عمر
4020129,"شركة الراشد هاك السعودية المحدودة",,,,عمر
4020387,"شركة اعمار المصطفى الدولية المحدودة",الرياض,"ضاحية الفرسان، الشرق، الرياض 13636",https://maps.app.goo.gl/utuFdHP2FzMzNpA6A,عمر
4020378,"مؤسسة اعمال الجزيرة للمقاولات العامة",الرياض,"ضاحية الفرسان، الشرق، الرياض 13636",https://maps.app.goo.gl/utuFdHP2FzMzNpA6A,عمر
4020355,"شركة صرح التقنيه",الرياض,"WVGH+689 اكنان الشرق، الرياض",https://maps.app.goo.gl/254NFonucegs67fF7,عمر
4020391,"مؤسسة خدمات الذكاء و البناء للمقاولات العامة",الرياض,"ضاحية الفرسان، الشرق، الرياض 13636",https://maps.app.goo.gl/utuFdHP2FzMzNpA6A,عمر
4020113,"شركة المعماريون الخليجيون - تجاري",الرياض,,,عمر
4020297,"شركة خطى الخير للتشغيل والصيانة المحدودة ",الرياض,,,عمر
4020107,"شركة المشروعات الانتقالية للاستثمار",الرياض,,,عمر
4020193,"شركة ثبات للانشاءات المحدودة",الرياض,"المرسية -طريق الأمير فيصل بن بندر بن عبدالعزيز الفرعي، النرجس، الرياض 13353",https://maps.app.goo.gl/xskd7hE25NPYHrdT6,عمر
4020435,"شركة الفارعة العربية للمقاولات",الرياض,"RDSB3946، 3946 السلمانية 5، 6679، حي السلمانية, الدرعية 13715",https://maps.app.goo.gl/DNqTWnb6PPtkY1zT8,عمر
4020412,"مؤسسة امان وسط للمقاولات العامة",الرياض,"الفرسان ,الشرق, الرياض 13636",https://maps.app.goo.gl/utuFdHP2FzMzNpA6A,عمر
4020404,"مؤسسة شمس الخليج للنقليات",الرياض,,,عمر
4020439,"مؤسسة فرحه محمد سرفراز بن عبدالمجيد جوهان",الرياض,"الفرسان, الشرق, الرياض 13636",https://maps.app.goo.gl/utuFdHP2FzMzNpA6A,عمر
4020438,"شركة كفاءة البنيان للمقاولات",الرياض,,,عمر
4020406,"شركة خطى التميز للمقاولات",الرياض,"الفرسان, الرياض 13639",https://maps.app.goo.gl/dwcSojMSJNcCJ55QA,عمر
4020356,"شركة التعمير و الانشاء المحدودة - الروشن",الرياض,"مطار الملك خالد الدولي , الرياض",https://maps.app.goo.gl/vm3SeZ17qA7kc63m9,رمضان
4020400,"بكين الامارات الدولية الصناعية BEC المدينة",الرياض,"Ad Duwaikhilah, Madinah,الدويخيلة, المدينة المنورة",https://maps.app.goo.gl/wRH9XxqcD5hXk6877,رمضان
4020388,"شركة مسماك للانشاء و التطوير المحدوده",الرياض,"بقيق 33263",https://maps.app.goo.gl/Rf8L6UkQQgCq9CKt8?g_st=iw,رمضان
4020366,"مؤسسة صقور التشييد للمقاولات",الرياض,"مطار الملك خالد الدولي , الرياض",https://maps.app.goo.gl/vm3SeZ17qA7kc63m9,رمضان
4020349,"شركة الكوثر للمقاولات",الرياض,"العريدة, الرياض 14745",https://maps.app.goo.gl/s5x15Ahpgeqfu32j6,رمضان
4020332,"شركة صالح العبدالله المهنا و شركائة",الرياض,"العريدة, الرياض 14745",https://maps.app.goo.gl/s5x15Ahpgeqfu32j6,رمضان
4020392,"شركة برو فاست المحدودة",الرياض,"طويق , الرياض HHM3+3Q5 Tuwaiq, Riyadh",https://maps.app.goo.gl/6WvhmLVsHsJDkibR6,رمضان
4020402,"شركة شغن للمقاولات المحدودة",الرياض,"RVP5+3CW الجنادرية , الرياض",https://maps.app.goo.gl/hFVmCb1os25SX88Z6,رمضان
4020415,"شركة التلال الانشائية للمقاولات",الرياض,"طريق ابي بكر الصديق، حي الملك سلمان، الرياض 12471",https://maps.app.goo.gl/Gary5TwtRQDE3AueA,رمضان
4020426,"مؤسسة امجاد اليمامة للتجارة",الرياض,"WQ5P+RVW حي, طريق خزام, الرمال, الرياض 13254",https://maps.app.goo.gl/bHm6NQmANpZ1sFb8A,رمضان
4020418,"مؤسسة ندى عبد الله القحطاني للمقاولات",الرياض,"الفرسان, الشرق,الرياض 13636",https://maps.app.goo.gl/utuFdHP2FzMzNpA6A,رمضان
